STPUMA	SERIALNO	SPORDER	ADJINC	PWGTP	SEX	RACE	AGE	COW	JWMNP	JWRIP	JWTR	MAR	REL	RETP	SCH	SCHG	SCHL	WAGP	WKHP	WKL	ESR	HISP	INDP	JWAP	JWDP	MSP	PAOC	OCCP	PINCP	POVPIP	POWPUMA	TYPE	IN_CMA
1703102	9170553098	1	999480	14	1	8	58	0	0	0	0	1	0	18200	1	0	9	0	0	3	6	2	0	0	0	1	0	0	33900	492	0	1	1
1703102	9170553098	2	999480	12	2	1	57	2	10	1	1	1	1	0	1	0	9	36800	40	1	1	1	9160	92	51	1	4	5700	36800	492	3100	1	1
1703102	9170554430	1	999480	35	1	1	53	3	7	1	1	1	0	0	1	0	12	63000	40	1	1	1	9470	77	37	1	0	7200	63000	501	3100	1	1
1703102	9170554430	2	999480	35	2	1	52	1	3	1	1	1	1	0	1	0	6	36000	40	1	1	1	8190	154	97	1	2	3500	36000	501	3100	1	1
1703102	9170554430	3	999480	47	1	1	17	1	7	1	1	5	2	0	2	5	6	10400	20	1	1	1	8680	77	37	6	0	4030	10400	501	3100	1	1
1703102	9170561379	1	999480	40	2	8	26	1	0	0	0	5	0	0	1	0	12	2700	40	1	6	2	7280	0	0	6	3	5400	2700	12	0	1	1
1703102	9170561379	2	999480	68	1	8	8	0	0	0	0	5	2	0	2	3	2	0	0	0	0	2	0	0	0	0	0	0	0	12	0	1	1
1703102	9170561379	3	999480	54	1	8	4	0	0	0	0	5	2	0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0	12	0	1	1
1703102	9170561379	4	999480	54	1	8	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	12	0	1	1
1703102	9170561379	5	999480	44	1	8	27	1	45	1	1	5	10	0	1	0	9	30000	45	1	1	2	770	85	37	6	0	6260	30000	267	3490	1	1
1703102	9170565012	1	999480	38	2	1	44	1	0	0	0	3	0	0	1	0	11	780	40	1	6	1	6990	0	0	4	4	5860	900	5	0	1	1
1703102	9170565012	2	999480	53	2	1	26	9	0	0	0	5	2	0	1	0	9	0	0	3	3	1	9920	0	0	6	1	9920	0	5	0	1	1
1703102	9170565012	3	999480	36	2	1	4	0	0	0	0	5	5	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	5	0	1	1
1703102	9170565012	4	999480	39	1	1	21	1	5	1	1	5	9	0	3	6	9	14900	40	1	1	1	8680	59	19	6	0	9130	18500	166	3100	1	1
